SB,Winner,Winner Pts,Loser,Loser Pts,MVP
LIV (54),Kansas City Chiefs,31,San Francisco 49ers,20,Patrick Mahomes
LIII (53),New England Patriots,13,Los Angeles Rams,3,Julian Edelman
LII (52),Philadelphia Eagles,41,New England Patriots,33,Nick Foles
LI (51),New England Patriots,34,Atlanta Falcons,28,Tom Brady
L (50),Denver Broncos,24,Carolina Panthers,10,Von Miller
XLIX (49),New England Patriots,28,Seattle Seahawks,24,Tom Brady
XLVIII (48),Seattle Seahawks,43,Denver Broncos,8,Malcolm Smith
XLVII (47),Baltimore Ravens,34,San Francisco 49ers,31,Joe Flacco
XLVI (46),New York Giants,21,New England Patriots,17,Eli Manning
XLV (45),Green Bay Packers,31,Pittsburgh Steelers,25,Aaron Rodgers
XLIV (44),New Orleans Saints,31,Indianapolis Colts,17,Drew Brees
XLIII (43),Pittsburgh Steelers,27,Arizona Cardinals,23,Santonio Holmes
XLII (42),New York Giants,17,New England Patriots,14,Eli Manning
XLI (41),Indianapolis Colts,29,Chicago Bears,17,Peyton Manning
XL (40),Pittsburgh Steelers,21,Seattle Seahawks,10,Hines Ward
XXXIX (39),New England Patriots,24,Philadelphia Eagles,21,Deion Branch
XXXVIII (38),New England Patriots,32,Carolina Panthers,29,Tom Brady
XXXVII (37),Tampa Bay Buccaneers,48,Oakland Raiders,21,Dexter Jackson
XXXVI (36),New England Patriots,20,St. Louis Rams,17,Tom Brady
XXXV (35),Baltimore Ravens,34,New York Giants,7,Ray Lewis+
XXXIV (34),St. Louis Rams,23,Tennessee Titans,16,Kurt Warner+
XXXIII (33),Denver Broncos,34,Atlanta Falcons,19,John Elway+
XXXII (32),Denver Broncos,31,Green Bay Packers,24,Terrell Davis+
XXXI (31),Green Bay Packers,35,New England Patriots,21,Desmond Howard
XXX (30),Dallas Cowboys,27,Pittsburgh Steelers,17,Larry Brown
XXIX (29),San Francisco 49ers,49,San Diego Chargers,26,Steve Young+
XXVIII (28),Dallas Cowboys,30,Buffalo Bills,13,Emmitt Smith+
XXVII (27),Dallas Cowboys,52,Buffalo Bills,17,Troy Aikman+
XXVI (26),Washington Redskins,37,Buffalo Bills,24,Mark Rypien
XXV (25),New York Giants,20,Buffalo Bills,19,Ottis Anderson
XXIV (24),San Francisco 49ers,55,Denver Broncos,10,Joe Montana+
XXIII (23),San Francisco 49ers,20,Cincinnati Bengals,16,Jerry Rice+
XXII (22),Washington Redskins,42,Denver Broncos,10,Doug Williams
XXI (21),New York Giants,39,Denver Broncos,20,Phil Simms
XX (20),Chicago Bears,46,New England Patriots,10,Richard Dent+
XIX (19),San Francisco 49ers,38,Miami Dolphins,16,Joe Montana+
XVIII (18),Los Angeles Raiders,38,Washington Redskins,9,Marcus Allen+
XVII (17),Washington Redskins,27,Miami Dolphins,17,John Riggins+
XVI (16),San Francisco 49ers,26,Cincinnati Bengals,21,Joe Montana+
XV (15),Oakland Raiders,27,Philadelphia Eagles,10,Jim Plunkett
XIV (14),Pittsburgh Steelers,31,Los Angeles Rams,19,Terry Bradshaw+
XIII (13),Pittsburgh Steelers,35,Dallas Cowboys,31,Terry Bradshaw+
XII (12),Dallas Cowboys,27,Denver Broncos,10,Harvey MartinRandy White+
XI (11),Oakland Raiders,32,Minnesota Vikings,14,Fred Biletnikoff+
X (10),Pittsburgh Steelers,21,Dallas Cowboys,17,Lynn Swann+
IX (9),Pittsburgh Steelers,16,Minnesota Vikings,6,Franco Harris+
VIII (8),Miami Dolphins,24,Minnesota Vikings,7,Larry Csonka+
VII (7),Miami Dolphins,14,Washington Redskins,7,Jake Scott
VI (6),Dallas Cowboys,24,Miami Dolphins,3,Roger Staubach+
V (5),Baltimore Colts,16,Dallas Cowboys,13,Chuck Howley
IV (4),Kansas City Chiefs,23,Minnesota Vikings,7,Len Dawson+
III (3),New York Jets,16,Baltimore Colts,7,Joe Namath+
II (2),Green Bay Packers,33,Oakland Raiders,14,Bart Starr+
I (1),Green Bay Packers,35,Kansas City Chiefs,10,Bart Starr+
